Time,
2011-11-22 00:00:00 UTC,
2011-11-23 00:00:00 UTC,
2011-11-24 00:00:00 UTC,
2011-11-25 00:00:00 UTC,
2011-11-26 00:00:00 UTC,
2011-11-27 00:00:00 UTC,
2011-11-28 00:00:00 UTC,
2011-11-29 00:00:00 UTC,
2011-11-30 00:00:00 UTC,
2011-12-01 00:00:00 UTC,
2011-12-02 00:00:00 UTC,23988799.2753564
2011-12-03 00:00:00 UTC,24230335.5219275
2011-12-04 00:00:00 UTC,21708092.9463299
2011-12-05 00:00:00 UTC,21853132.5009636
2011-12-06 00:00:00 UTC,22736167.3599858
2011-12-07 00:00:00 UTC,23554623.8798237
2011-12-08 00:00:00 UTC,23428238.2816099
2011-12-09 00:00:00 UTC,23589697.7306024
2011-12-10 00:00:00 UTC,23379839.3550191
2011-12-11 00:00:00 UTC,24267316.6597487
2011-12-12 00:00:00 UTC,25700327.4119831
2011-12-13 00:00:00 UTC,25072608.2111523
2011-12-14 00:00:00 UTC,
2011-12-15 00:00:00 UTC,24704148.0382773
2011-12-16 00:00:00 UTC,25279179.0263571
2011-12-17 00:00:00 UTC,25221258.2259246
2011-12-18 00:00:00 UTC,25197172.7021888
2011-12-19 00:00:00 UTC,25277816.4765
2011-12-20 00:00:00 UTC,27709632.8570612
2011-12-21 00:00:00 UTC,31088267.5479574
2011-12-22 00:00:00 UTC,30745372.5041358
2011-12-23 00:00:00 UTC,30673156.6902348
2011-12-24 00:00:00 UTC,31209800.3752945
2011-12-25 00:00:00 UTC,31366200.6693999
2011-12-26 00:00:00 UTC,33419466.5748038
2011-12-27 00:00:00 UTC,32067813.8871781
2011-12-28 00:00:00 UTC,32534840.7408098
2011-12-29 00:00:00 UTC,33485618.1846454
2011-12-30 00:00:00 UTC,33581886.8772139
2011-12-31 00:00:00 UTC,33997384.2558188
2012-01-01 00:00:00 UTC,37725699.401977
2012-01-02 00:00:00 UTC,42224533.7137
2012-01-03 00:00:00 UTC,41371525.4885089
2012-01-04 00:00:00 UTC,38974170.5680484
2012-01-05 00:00:00 UTC,46568692.6127375
2012-01-06 00:00:00 UTC,56920928.6053633
2012-01-07 00:00:00 UTC,53305004.6286752
2012-01-08 00:00:00 UTC,54647693.5308178
2012-01-09 00:00:00 UTC,57170795.8731836
2012-01-10 00:00:00 UTC,50881610.9939027
2012-01-11 00:00:00 UTC,52631355.6775593
2012-01-12 00:00:00 UTC,55846287.7345559
2012-01-13 00:00:00 UTC,54649942.0673415
2012-01-14 00:00:00 UTC,51492779.3155194
2012-01-15 00:00:00 UTC,55583734.1919154
2012-01-16 00:00:00 UTC,56725070.8878686
2012-01-17 00:00:00 UTC,54125616.2040114
2012-01-18 00:00:00 UTC,46899114.5016231
2012-01-19 00:00:00 UTC,48404316.0759211
2012-01-20 00:00:00 UTC,51783723.3939584
2012-01-21 00:00:00 UTC,53043362.848636
2012-01-22 00:00:00 UTC,50430724.5751414
2012-01-23 00:00:00 UTC,51478970.3765197
2012-01-24 00:00:00 UTC,52142238.3712232
2012-01-25 00:00:00 UTC,51529385.0619839
2012-01-26 00:00:00 UTC,47496049.4337361
2012-01-27 00:00:00 UTC,44020923.0404808
2012-01-28 00:00:00 UTC,43594948.6231308
2012-01-29 00:00:00 UTC,46271930.5055972
2012-01-30 00:00:00 UTC,44418664.676759
2012-01-31 00:00:00 UTC,45505037.6296875
2012-02-01 00:00:00 UTC,45589247.6635241
2012-02-02 00:00:00 UTC,50103281.3608903
2012-02-03 00:00:00 UTC,49089070.1777261
2012-02-04 00:00:00 UTC,48961807.3241108
2012-02-05 00:00:00 UTC,48010461.1862229
2012-02-06 00:00:00 UTC,45783716.615416
2012-02-07 00:00:00 UTC,45614206.7454363
2012-02-08 00:00:00 UTC,47290006.979423
2012-02-09 00:00:00 UTC,46819218.1355352
2012-02-10 00:00:00 UTC,48692597.7743183
2012-02-11 00:00:00 UTC,49184378.7913334
2012-02-12 00:00:00 UTC,46151218.7640494
2012-02-13 00:00:00 UTC,46903332.2523331
2012-02-14 00:00:00 UTC,44300075.152932
2012-02-15 00:00:00 UTC,37652757.8416776
2012-02-16 00:00:00 UTC,34877010.9055772
2012-02-17 00:00:00 UTC,35897390.3235942
2012-02-18 00:00:00 UTC,36911053.7153776
2012-02-19 00:00:00 UTC,35963278.2303482
2012-02-20 00:00:00 UTC,36809368.7508084
2012-02-21 00:00:00 UTC,36805831.1475907
2012-02-22 00:00:00 UTC,36230554.0918936
2012-02-23 00:00:00 UTC,37672244.9488455
2012-02-24 00:00:00 UTC,42406759.560769
2012-02-25 00:00:00 UTC,42283690.1061246
2012-02-26 00:00:00 UTC,40361826.0979123
2012-02-27 00:00:00 UTC,41678883.5139593
2012-02-28 00:00:00 UTC,41874753.6775968
2012-02-29 00:00:00 UTC,41073805.2137168
2012-03-01 00:00:00 UTC,41302319.2209365
2012-03-02 00:00:00 UTC,41775301.6951844
2012-03-03 00:00:00 UTC,39918357.4576891
2012-03-04 00:00:00 UTC,39376418.8241493
2012-03-05 00:00:00 UTC,41035345.389308
2012-03-06 00:00:00 UTC,42310233.4890988
2012-03-07 00:00:00 UTC,42427138.7086839
2012-03-08 00:00:00 UTC,42186779.0804909
2012-03-09 00:00:00 UTC,41833143.3127242
2012-03-10 00:00:00 UTC,41655368.843713
2012-03-11 00:00:00 UTC,41237034.3125419
2012-03-12 00:00:00 UTC,41978188.5478028
2012-03-13 00:00:00 UTC,42023854.966846
2012-03-14 00:00:00 UTC,45127145.5156373
2012-03-15 00:00:00 UTC,46298456.1237607
2012-03-16 00:00:00 UTC,46041893.4593832
